symbol,shock_quantile,t_shock,event_count,min_events,meets_min_events,selected,selected_quantile,selected_t_shock,selected_event_count
BTCUSDT,0.95,2.392113984716014,223,50,True,False,0.99,3.88200343938237,55
BTCUSDT,0.97,2.8048688237304997,142,50,True,False,0.99,3.88200343938237,55
BTCUSDT,0.98,3.144386901825701,99,50,True,False,0.99,3.88200343938237,55
BTCUSDT,0.99,3.88200343938237,55,50,True,True,0.99,3.88200343938237,55
BTCUSDT,0.995,5.057278038280229,30,50,False,False,0.99,3.88200343938237,55
ETHUSDT,0.95,2.2426033034863093,216,50,True,False,0.99,3.5866702727301933,56
ETHUSDT,0.97,2.6378840126000327,143,50,True,False,0.99,3.5866702727301933,56
ETHUSDT,0.98,2.945732500554924,99,50,True,False,0.99,3.5866702727301933,56
ETHUSDT,0.99,3.5866702727301933,56,50,True,True,0.99,3.5866702727301933,56
ETHUSDT,0.995,4.11044954434594,33,50,False,False,0.99,3.5866702727301933,56
